file,$Unique,name,$Subtitle,$CardClass,$CardClass2,$CardClass3,$ResourceCost,$Level,$Slot,$Slot2,$Stamina,$Sanity,$Skill1,$Skill2,$Skill3,$Skill4,$Skill5,$Skill6,$Copyright,$Traits,$Rules,$Flavor,$Victory,portSource,portScale,portX,portY,$Artist,$Collection,$CollectionNumber
醉人誘引 (1) [Mystic][skill],,醉人誘引,,Mystic,None,None,0,1,None,None,None,None,Willpower,Wild,None,None,None,None,"<family ""Arial""><cop> 2024 FFG</family>",精通.,投入此卡牌到技能檢定的時候，執行的調查員可以忽略這次檢定期間將要觸發的所有關鍵詞或地點效果。,"
幻夢的識海跟任何海洋一般深沉。",,E:\Projects\Arkham-Horror-LCG-Cards\temp\10096.png,1.25,0,75,Daniel Watson,fhvp,96
百步穿楊 [Survivor][skill],,百步穿楊,,Survivor,None,None,0,0,None,None,None,None,None,None,None,None,None,None,"<family ""Arial""><cop> 2024 FFG</family>",精通.,"你可以投入百步穿楊到你所在地點或連接地點對敵人的攻擊或躲避檢定。
如果這次檢定成功，對該敵人造成1點傷害。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\10116.png,1.25,0,75,Carlos Palma Cruchaga,fhvp,116
毅力 (1) [Survivor][skill],,毅力,,Survivor,None,None,0,1,None,None,None,None,Wild,None,None,None,None,None,"<family ""Arial""><cop> 2024 FFG</family>",天性.,你可以從你的棄牌堆將毅力投入到技能檢定。如果你這麼做，在這次檢定結束後將其混洗入你的牌堆。,"
""任何人都可能沉迷其中並失去理智，除了專心致志的農夫……""—H.P.洛夫克拉夫特，<u>《星之彩》</u>",,E:\Projects\Arkham-Horror-LCG-Cards\temp\10118.png,1.25,0,75,Tiziano Baracchi,fhvp,118
神佑 (2) [Survivor][skill],,神佑,,Survivor,None,None,0,2,None,None,None,None,Combat,Willpower,Wild,None,None,None,"<family ""Arial""><cop> 2024 FFG</family>",天性. 祝福.,如果這次技能檢定成功，你每有1點傷害或恐懼(取其中較低的數值)，加入1個<ble>標記到混亂袋。,"
面對潛伏的恐懼，勇氣是你最好的防禦。",,E:\Projects\Arkham-Horror-LCG-Cards\temp\10125.png,1.25,0,75,Yoann Boissonnet,fhvp,125
衣著華麗 [Neutral][skill],,衣著華麗,,Neutral,None,None,0,0,None,None,None,None,Wild,None,None,None,None,None,"<family ""Arial""><cop> 2024 FFG</family>",精通. 幸運.,在談判行動期間投入衣著華麗到技能檢定的時候，其獲得<wild><wild><wild>。,"
人要衣裝。",,E:\Projects\Arkham-Horror-LCG-Cards\temp\10130.png,1.25,0,75,Andreia Ugrai,fhvp,130
洞察力 (2) [Seeker][skill],,洞察力,,Seeker,None,None,0,2,None,None,None,None,Intellect,Intellect,Intellect,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",精通. 專家.,"每次技能檢定最多投入1張。
如果這次檢定成功，抽取1張卡牌(如果超過難度至少2點，改為抽取2張卡牌)。","
總算找到了！",,E:\Projects\Arkham-Horror-LCG-Cards\temp\60228.png,1.25,0,75,Andreia Ugrai,CoreSet,28
先見之明 [Mystic][skill],,先見之明,,Mystic,None,None,0,0,None,None,None,None,Willpower,None,None,None,None,None,"<family ""Arial""><cop> 2020 FFG</family>",精通. 預言.,"每次技能檢定最多投入1張。
在你將先見之明投入到技能檢定後，聲明""雙數""、""單數""或""符號""。在這次檢定結束後，如果這次檢定中抽出了聲明類型的混亂標記，你可以將你棄牌堆的一張<b><i>法術</i></b>卡返回手牌。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\60419.png,1.25,0,75,Magali Villeneuve,JacquelineFine,19
膽識 (2) [Mystic][skill],,膽識,,Mystic,None,None,0,2,None,None,None,None,Willpower,Willpower,Willpower,None,None,None,"<family ""Arial""><cop> 2020 FFG</family>",天性. 熟練.,"每次技能檢定最多投入1張。
如果這次檢定成功，抽取1張卡牌(如果超過難度至少2點，改為抽取2張卡牌)。","
退後！我會搞定的。",,E:\Projects\Arkham-Horror-LCG-Cards\temp\60424.png,1.25,0,75,Clark Huggins,JacquelineFine,24
壓制 (2) [Guardian][skill],,壓制,,Guardian,None,None,0,2,None,None,None,None,Combat,Combat,Combat,None,None,None,"<family ""Arial""><cop> 2019 FFG</family>",精通. 專家.,"每次技能檢定最多投入1張。
如果這次檢定成功，抽取1張卡牌(如果超過難度至少2點，改為抽取2張卡牌)。","
去死吧，你這個怪物！",,E:\Projects\Arkham-Horror-LCG-Cards\temp\60126.png,1.25,0,75,Jose Vega,NathanielCho,26
絕處逢生 (2) [Survivor][skill],,絕處逢生,,Survivor,None,None,0,2,None,None,None,None,Wild,Wild,None,None,None,None,"<family ""Arial""><cop> 2019 FFG</family>",天性. 熟練.,"每次技能檢定最多投入1張。
如果這次檢定失敗，將絕處逢生返回你的手牌。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\60526.png,1.25,0,75,Dleoblack,StellaClark,26
身手矯捷 [Rogue][skill],,身手矯捷,,Rogue,None,None,0,0,None,None,None,None,Agility,None,None,None,None,None,"<family ""Arial""><cop> 2019 FFG</family>",天性.,這次技能檢定成功且每超過難度1點，在本次檢定結算後你可以立即移動到一個連接地點(最多移動3次)。,"
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\60317.png,1.25,0,75,David Auden Nash,WinifredHabbamock,17
虎口拔牙 [Rogue][skill],,虎口拔牙,,Rogue,None,None,0,0,None,None,None,None,Wild,None,None,None,None,None,"<family ""Arial""><cop> 2019 FFG</family>",幸運. 精通.,在你將虎口拔牙投入到技能檢定後，從你牌堆頂部棄牌，直到丟棄一張可以投入這次檢定的<rog>技能卡。將其投入。將本效果中丟棄的所有弱點卡洗回你的牌堆。,"
""你是個瘋子，溫妮！""
""我知道！這難道不是件好事嗎？""",,E:\Projects\Arkham-Horror-LCG-Cards\temp\60318.png,1.25,0,75,Borja Pindado,WinifredHabbamock,18
心靈手巧 (2) [Rogue][skill],,心靈手巧,,Rogue,None,None,0,2,None,None,None,None,Agility,Agility,Agility,None,None,None,"<family ""Arial""><cop> 2019 FFG</family>",天性. 熟練.,"每次技能檢定最多投入1張。
如果這次技能檢定成功，抽取1張卡牌(如果超過難度至少2點，改為抽取2張卡牌)。","
易如反掌。",,E:\Projects\Arkham-Horror-LCG-Cards\temp\60325.png,1.25,0,75,Priscilla Kim,WinifredHabbamock,25
學人精 (3) [Rogue][skill],,學人精,,Rogue,None,None,0,3,None,None,None,None,Wild,None,None,None,None,None,"<family ""Arial""><cop> 2019 FFG</family>",局勢.,在你將學人精投入到技能檢定後，在另一位調查員的棄牌堆中查找並投入一張你能夠投入到這次檢定中的技能卡。這次檢定結束後，將該卡放到其所有者的牌堆底部。,"
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\60330.png,1.25,0,75,Aleksander Karcz,WinifredHabbamock,30
放馬過來！ [Survivor][skill],,"""放馬過來！""",,Survivor,None,None,0,0,None,None,None,None,Agility,Combat,Willpower,None,None,None,"<family ""Arial""><cop> 2017 FFG</family>",天性.,"你與敵人交戰時才可投入技能檢定。
你每與一個敵人交戰，""放馬過來！""獲得<wil><com><agi>。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\03272.png,1.25,0,75,Aurore Folny,ThePathToCarcosa,272
遠古印記封印 (5) [Mystic][skill],,遠古印記封印,,Mystic,None,None,0,5,None,None,None,None,Wild,None,None,None,None,None,"<family ""Arial""><cop> 2017 FFG</family>",法術. 專家.,"本次檢定中不要從混亂袋中抽取混亂標記。本次檢定抽出的混亂標記視為<eld>。
在本次檢定結束時，從遊戲中移除遠古印記封印。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\03312.png,1.25,0,75,David Demaret,ThePathToCarcosa,312
臨危禱告 [Neutral][skill],,臨危禱告,,Neutral,None,None,0,0,None,None,None,None,Willpower,Willpower,Willpower,Willpower,None,None,"<family ""Arial""><cop> 2017 FFG</family>",絕望.,"每次技能檢定最多投入1張。
你剩餘神智值為3點或更少時才可投入技能檢定。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\03116.png,1.25,0,75,Melissa Findley,ThePathToCarcosa,116
冥思苦想 [Neutral][skill],,冥思苦想,,Neutral,None,None,0,0,None,None,None,None,Intellect,Intellect,Intellect,Intellect,None,None,"<family ""Arial""><cop> 2017 FFG</family>",絕望.,"每次技能檢定最多投入1張。
你剩餘神智值為3點或更少時才可投入技能檢定。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\03117.png,1.25,0,75,Cristina Vela,ThePathToCarcosa,117
拚死出擊 [Neutral][skill],,拚死出擊,,Neutral,None,None,0,0,None,None,None,None,Combat,Combat,Combat,Combat,None,None,"<family ""Arial""><cop> 2017 FFG</family>",絕望.,"每次技能檢定最多投入1張。
你剩餘神智值為3點或更少時才可投入技能檢定。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\03118.png,1.25,0,75,Nicholas Stohlman,ThePathToCarcosa,118
絕命奔逃 [Neutral][skill],,絕命奔逃,,Neutral,None,None,0,0,None,None,None,None,Agility,Agility,Agility,Agility,None,None,"<family ""Arial""><cop> 2017 FFG</family>",絕望.,"每次技能檢定最多投入1張。
你剩餘神智值為3點或更少時才可投入技能檢定。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\03119.png,1.25,0,75,Nicholas Elias,ThePathToCarcosa,119
急中生智 [Survivor][skill],,急中生智,,Survivor,None,None,0,0,None,None,None,None,Agility,Combat,Intellect,None,None,None,"<family ""Arial""><cop> 2017 FFG</family>",天性.,如果本次技能檢定成功，選擇你棄牌堆中一張標題不是急中生智的<sur>卡牌。將選中的卡牌加入你的手牌。,"
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\03039.png,1.25,0,75,Audrey Hotte,ThePathToCarcosa,39
先身士卒 [Guardian][skill],,先身士卒,,Guardian,None,None,0,0,None,None,None,None,Combat,Intellect,Willpower,None,None,None,"<family ""Arial""><cop> 2017 FFG</family>",天性.,如果本次技能檢定成功，準備你所在地點的一張<b><i>盟友</i></b>支援卡並為其治癒1點傷害或1點恐懼。,"
""安德森對手下確實狠。他平時把蘭姆酒都鎖起來，還經常天一亮就把我們叫起來。但現在，在這種不毛之地，我就希望他能打頭陣。""",,E:\Projects\Arkham-Horror-LCG-Cards\temp\03228.png,1.25,0,75,Christine Mitzuk,ThePathToCarcosa,228
重大發現 [Seeker][skill],,重大發現,,Seeker,None,None,0,0,None,None,None,None,Agility,Intellect,Willpower,None,None,None,"<family ""Arial""><cop> 2017 FFG</family>",天性.,如果本次技能檢定成功，執行本次檢定的調查員查找其牌堆頂的3張卡牌，抽取其中1張並混洗其牌堆。,"
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\03231.png,1.25,0,75,Ilich Henriquez,ThePathToCarcosa,231
吃我一招！ [Rogue][skill],,"""吃我一招！""",,Rogue,None,None,0,0,None,None,None,None,Agility,Combat,Willpower,None,None,None,"<family ""Arial""><cop> 2017 FFG</family>",局勢.,"只能投入你正在進行的技能檢定。將""吃我一招！""投入技能檢定時，花費最多3資源作為額外費用。
如果你成功且超過難度至少1點，獲得同等花費數量的兩倍的資源。","
赤裸裸的炫耀。",,E:\Projects\Arkham-Horror-LCG-Cards\temp\03233.png,1.25,0,75,Andreia Ugrai,ThePathToCarcosa,233
力量洪流 [Mystic][skill],,力量洪流,,Mystic,None,None,0,0,None,None,None,None,Wild,None,None,None,None,None,"<family ""Arial""><cop> 2017 FFG</family>",精通.,"將力量洪流投入技能檢定時，從你控制的支援卡上花費最多3充能作為額外費用。
每以此方式花費1點充能，力量洪流獲得<wil><wild>。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\03235.png,1.25,0,75,Axel Hutt,ThePathToCarcosa,235
