file,$Unique,name,$Subtitle,$CardClass,$CardClass2,$CardClass3,$ResourceCost,$Level,$Slot,$Slot2,$Stamina,$Sanity,$Skill1,$Skill2,$Skill3,$Skill4,$Skill5,$Skill6,$Copyright,$Traits,$Rules,$Flavor,$Victory,portSource,portScale,portX,portY,$Artist,$Collection,$CollectionNumber
飛蛾撲火 [Mystic][event],,飛蛾撲火,,Mystic,None,None,0,0,None,None,None,None,Intellect,Willpower,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",洞察.,抽取遭遇牌堆頂部的卡牌。然後發現你所在地點的2個線索。,"
""我們生活在無限的黑海中，一個無知的島嶼上，這意味著我們不應該航行太遠。""
<cite>H. P. 洛夫克拉夫特，《克蘇魯的呼喚》</cite>",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01064.png,1.25,0,118,Magali Villeneuve,CoreSet,64
守護結界 [Mystic][event],,守護結界,,Mystic,None,None,1,0,None,None,None,None,Wild,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",法術. 勇氣.,"快速。在你抽出一張非弱點詭計卡時打出。
取消該卡的顯現效果。然後受到1點恐懼。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01065.png,1.25,0,118,Alexandr Elichev,CoreSet,65
眩光一閃 [Mystic][event],,眩光一閃,,Mystic,None,None,2,0,None,None,None,None,Agility,Willpower,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",法術.,<b>躲避</b>。這次躲避嘗試不使用<agi>，改為使用<wil>。如果成功，對躲避的敵人造成1點傷害。如果躲避嘗試期間抽出<sku>、<cul>、<tab>、<mon>或<ten>符號，本回合失去1個行動。,"
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01066.png,1.25,0,118,Stephen Somers,CoreSet,66
記憶抹消 (1) [Mystic][event],,記憶抹消,,Mystic,None,None,1,1,None,None,None,None,Combat,Willpower,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",法術.,"快速。在一個階段開始後打出。
選擇你所在地點的一名非<b><i>精英</i></b>敵人。將所選敵人的文字框視為空白，(除<b><i>屬性</i></b>外)直到該階段結束。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01068.png,1.25,0,118,Rafał Hrynkiewicz,CoreSet,68
眩光一閃 (2) [Mystic][event],,眩光一閃,,Mystic,None,None,1,2,None,None,None,None,Agility,Willpower,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",法術.,<b>躲避</b>。這次躲避嘗試不使用<agi>，改為使用<wil>。如果成功，對躲避的敵人造成2點傷害。如果躲避嘗試期間抽出<sku>、<cul>、<tab>、<mon>或<ten>符號，本回合失去1個行動，並受到1點恐懼。,"
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01069.png,1.25,0,118,Stephen Somers,CoreSet,69
調虎離山 [Survivor][event],,調虎離山,,Survivor,None,None,5,0,None,None,None,None,Willpower,Wild,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",策略.,<b>躲避</b>。自動躲避你所在地點的所有敵人。,"
這能為我們爭取點時間。",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01078.png,1.25,0,118,JB Casacop,CoreSet,78
看看我發現了什麼！ [Survivor][event],,"""看看我發現了什麼！""",,Survivor,None,None,2,0,None,None,None,None,Intellect,Intellect,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",幸運.,"快速。在你調查失敗，並且低於難度2點及以內後打出。
發現你所在地點的2個線索。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01079.png,1.25,0,118,Mark Molnar,CoreSet,79
運氣好！ [Survivor][event],,運氣好！,,Survivor,None,None,1,0,None,None,None,None,None,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",幸運.,"快速。在你的技能檢定將要失敗時打出。
該次檢定你的技能值+2。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01080.png,1.25,0,118,David Auden Nash,CoreSet,80
千鈞一髮 (2) [Survivor][event],,千鈞一髮,,Survivor,None,None,2,2,None,None,None,None,Agility,Combat,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",幸運.,"快速。在一名與你同一地點的非弱點、非<b><i>精英</i></b>敵人被躲避後打出。
將該敵人與遭遇牌堆混洗。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01083.png,1.25,0,118,Alexandre Dainche,CoreSet,83
運氣好！ (2) [Survivor][event],,運氣好！,,Survivor,None,None,1,2,None,None,None,None,None,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",幸運.,"快速。在你的技能檢定將要失敗時打出。
該次檢定你的技能值+2。抽取1張卡牌。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01084.png,1.25,0,118,David Auden Nash,CoreSet,84
生存意志 (3) [Survivor][event],,生存意志,,Survivor,None,None,4,3,None,None,None,None,Combat,Wild,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",勇氣.,"快速。只能在你回合期間打出。
直到你回合結束，你執行任何技能檢定不用抽取混亂標記。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01085.png,1.25,0,118,Ilich Henriquez,CoreSet,85
應急物品 [Neutral][event],,應急物品,,Neutral,None,None,0,0,None,None,None,None,None,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",供給.,獲得3個資源。,"
俗話說多多益善。",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01088.png,1.25,0,118,Vincent Dutrait,CoreSet,88
最壞的打算 [Guardian][event],,最壞的打算,,Guardian,None,None,1,0,None,None,None,None,Combat,Intellect,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",策略.,查找你牌堆頂部9張卡牌，將其中1張<b><i>武器</i></b>支援卡加入你手牌。混洗你的牌堆。,"
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\02184.png,1.25,0,118,Robert Laskey,TheDunwichLegacy,184
荒唐的素描像 [Seeker][event],,荒唐的素描像,,Seeker,None,None,2,0,None,None,None,None,Intellect,Willpower,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",洞察.,"只能在你所在地點有至少1個線索時打出。
抽取3張卡牌。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\02186.png,1.25,0,118,German Nobile,TheDunwichLegacy,186
應急物品 (2) [Neutral][event],,應急物品,,Neutral,None,None,0,2,None,None,None,None,None,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",供給.,獲得3個資源，並抽取1張卡牌。,"
俗話說多多益善。",,E:\Projects\Arkham-Horror-LCG-Cards\temp\02194.png,1.25,0,118,Vincent Dutrait,TheDunwichLegacy,194
嘲諷 [Guardian][event],,嘲諷,,Guardian,None,None,1,0,None,None,None,None,Combat,Willpower,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",策略.,"快速。只能在你回合中打出。
與你所在地點的任意數量敵人交戰。","
你鼓起勇氣，朝黑暗中大喊道：""快來抓我！""",,E:\Projects\Arkham-Horror-LCG-Cards\temp\02017.png,1.25,0,118,John Pacer,TheDunwichLegacy,17
團隊合作 [Guardian][event],,團隊合作,,Guardian,None,None,0,0,None,None,None,None,Wild,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",策略.,你所在地點的調查員，可以自由給予或交易任意數量的<b><i>道具</i></b>支援卡、<b><i>盟友</i></b>支援卡和資源。,"
孤軍奮戰，最為致命。",,E:\Projects\Arkham-Horror-LCG-Cards\temp\02018.png,1.25,0,118,Adam Lane,TheDunwichLegacy,18
嘲諷 (2) [Guardian][event],,嘲諷,,Guardian,None,None,1,2,None,None,None,None,Agility,Combat,Willpower,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",策略.,"快速。只能在你回合中打出。
與你所在地點的任意數量敵人交戰。你每通過該效果與一名敵人交戰，抽取1張卡牌。","
你鼓起勇氣，朝黑暗中大喊道：""快來抓我！""",,E:\Projects\Arkham-Horror-LCG-Cards\temp\02019.png,1.25,0,118,John Pacer,TheDunwichLegacy,19
捷徑 [Seeker][event],,捷徑,,Seeker,None,None,0,0,None,None,None,None,Agility,Willpower,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",洞察. 策略.,"快速。只能在你回合中打出。
選擇你所在地點的一位調查員。將該調查員移動到一個連接地點。","
你對這個小鎮瞭如指掌。",,E:\Projects\Arkham-Horror-LCG-Cards\temp\02022.png,1.25,0,118,Derk Venneman,TheDunwichLegacy,22
尋找答案 [Seeker][event],,尋找答案,,Seeker,None,None,1,0,None,None,None,None,Agility,Intellect,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",洞察.,<b>調查</b>。如果你成功，不發現所在地點的一個線索，改為發現連接地點的一個線索。,"
有些人會不惜一切代價來找到真相。但是有些真相卻能傷人。",,E:\Projects\Arkham-Horror-LCG-Cards\temp\02023.png,1.25,0,118,Andreia Ugrai,TheDunwichLegacy,23
逃跑本能 [Rogue][event],,逃跑本能,,Rogue,None,None,1,0,None,None,None,None,Agility,Intellect,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",技巧.,"快速。在敵人將要在你所在地點生成時打出。
立刻移動到一個連接地點。(該敵人依然在原本地點生成。)","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\02025.png,1.25,0,118,JB Casacop,TheDunwichLegacy,25
困獸之籠 (2) [Mystic][event],,困獸之籠,,Mystic,None,None,3,2,None,None,None,None,Intellect,Willpower,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",法術.,"<b>躲避</b>。這次躲避嘗試不使用<agi>，改為使用<wil>。如果成功並且該敵人為非<b><i>精英</i></b>，躲避並將困獸之籠疊加到該敵人。
<rea>在被疊加的敵人要準備時：檢定<wil>(3)。如果成功，疊加敵人不準備。如果失敗，丟棄困獸之籠。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\02031.png,1.25,0,118,Christina Davis,TheDunwichLegacy,31
偷樑換柱 [Survivor][event],,偷樑換柱,,Survivor,None,None,1,0,None,None,None,None,Agility,Intellect,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",技巧.,<b>躲避</b>。如果成功並且該敵人為非<b><i>精英</i></b>，躲避並將該敵人移動到一個連接地點。,"
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\02034.png,1.25,0,118,Rafał Hrynkiewicz,TheDunwichLegacy,34
屠怪勇士 (5) [Guardian][event],,屠怪勇士,,Guardian,None,None,1,5,None,None,None,None,Combat,Wild,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",勇氣.,<b>攻擊</b>。如果這次攻擊目標為1個非<b><i>精英</i></b>敵人並成功，立刻擊敗該敵人。,"
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\02300.png,1.25,0,118,Henning Ludvigsen,TheDunwichLegacy,300
揭開現實的面紗 (5) [Seeker][event],,揭開現實的面紗,,Seeker,None,None,4,5,None,None,None,None,Intellect,Intellect,Willpower,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",洞察.,<b>調查</b>。該次技能檢定難度，等同於場上已揭示的地點中，最高的隱藏值。如果成功，從場上每個已揭示地點各發現1個線索。,"
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\02303.png,1.25,0,118,Shane Pierce,TheDunwichLegacy,303
守護結界 (5) [Mystic][event],,守護結界,,Mystic,None,None,1,5,None,None,None,None,Willpower,Wild,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",法術. 勇氣.,"快速。在你抽出一張非弱點的遭遇卡時打出。
取消該卡的所有效果，並將其丟棄。然後受到1點恐懼。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\02307.png,1.25,0,118,Alexandr Elichev,TheDunwichLegacy,307
團結一致 (3) [Guardian][event],,團結一致,,Guardian,None,None,0,3,None,None,None,None,Willpower,Willpower,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",勇氣.,選擇你所在地點的另一位調查員。你和該調查員各抽取2張卡牌，並獲得2個資源。,"
我們絕不倒下！",,E:\Projects\Arkham-Horror-LCG-Cards\temp\02148.png,1.25,0,118,Brad Rigney,TheDunwichLegacy,148
我要走了！ [Rogue][event],,我要走了！,,Rogue,None,None,0,0,None,None,None,None,Agility,Agility,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",技巧. 勇氣.,"只有""撤退""能力的冒險卡在場時才能打出。
<b>撤退</b>。你從這個鬼地方逃走了。","
膽小鬼可能不會贏，但不太容易死",,E:\Projects\Arkham-Horror-LCG-Cards\temp\02151.png,1.25,0,118,Caravan Studio,TheDunwichLegacy,151
催眠術 [Mystic][event],,催眠術,,Mystic,None,None,3,0,None,None,None,None,Agility,Combat,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",法術.,"快速。在一名敵人攻擊你所在地點的調查員時打出。
取消該次攻擊。然後從混亂袋中抽出1個標記。如果是<sku>、<cul>、<tab>、<mon>或<ten>標記，將敵人的傷害轉移給敵人自身。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\02153.png,1.25,0,118,Falk,TheDunwichLegacy,153
誘敵深入 (1) [Survivor][event],,誘敵深入,,Survivor,None,None,1,1,None,None,None,None,Agility,Agility,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",技巧.,"疊加到你所在地點。
在敵軍階段中移動的敵人，改為朝疊加地點以最短路徑移動，而不是其原本路線。
<b>強制</b> - 當該卡被疊加的輪次結束時：丟棄誘敵深入。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\02156.png,1.25,0,118,Sebastian Rodriquez,TheDunwichLegacy,156
緊急救援 [Guardian][event],,緊急救援,,Guardian,None,None,2,0,None,None,None,None,Agility,Intellect,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",洞察. 科學.,選擇你所在地點的一位調查員。治癒該調查員，或其控制的一張<b><i>盟友</i></b>支援卡2點傷害。,"
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\02105.png,1.25,0,118,Stephen Somers,TheDunwichLegacy,105
我有個計劃！ [Seeker][event],,"""我有個計劃！""",,Seeker,None,None,3,0,None,None,None,None,Combat,Intellect,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",洞察. 策略.,<b>攻擊</b>。這次攻擊使用<int>代替<com>。你每持有1個線索，這次攻擊造成+1傷害(最大+3傷害)。,"
""這應該是我聽過最爛的計劃了。好吧，那還磨蹭什麼？快動手吧！""",,E:\Projects\Arkham-Horror-LCG-Cards\temp\02107.png,1.25,0,118,Robert Laskey,TheDunwichLegacy,107
走私品 [Rogue][event],,走私品,,Rogue,None,None,4,0,None,None,None,None,Intellect,Willpower,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",供給. 違法.,選擇一張你所在地點的調查員控制的支援卡。將該支援卡上的子彈或補給標記數量翻倍。,"
管他違不違法，能辦事就成。",,E:\Projects\Arkham-Horror-LCG-Cards\temp\02109.png,1.25,0,118,Matt Bradbury,TheDunwichLegacy,109
過度深入 [Mystic][event],,過度深入,,Mystic,None,None,1,0,None,None,None,None,None,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",洞察.,按玩家順序，每位調查員抽取1張遭遇卡。然後，將過度深入加入勝利牌區。,"
有些事情，你一旦看到了，就再也不能無視它。",1,E:\Projects\Arkham-Horror-LCG-Cards\temp\02111.png,1.25,0,118,Anders Finér,TheDunwichLegacy,111
哎呀！ [Survivor][event],,哎呀！,,Survivor,None,None,2,0,None,None,None,None,Combat,Combat,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",幸運.,"快速。在你攻擊與你交戰的敵人失敗，並且低於難度2點及以內後打出。
對你所在地點的不同敵人造成該次攻擊的傷害。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\02113.png,1.25,0,118,Mariusz Gandzel,TheDunwichLegacy,113
照明彈 (1) [Survivor][event],,照明彈,,Survivor,None,None,2,1,None,None,None,None,Wild,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",策略.,"選擇(一項)：
 <bul> <b>攻擊</b>。這次攻擊中你+3<com>，造成+2傷害。放逐照明彈。
 <bul> 查找任意一位調查員的牌堆頂部9張卡牌，並將其中1張<b><i>盟友</i></b>支援卡放置入你的控制下。然後，放逐照明彈，並混洗被查找的牌堆。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\02115.png,1.25,0,118,Colin Boyer,TheDunwichLegacy,115
如果它會流血…… [Guardian][event],,"""如果它會流血……""",,Guardian,None,None,1,0,None,None,None,None,Combat,Willpower,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",.,"快速。在你擊敗一名<b><i>怪物</i></b>敵人後打出。
你所在地點的每位調查員，各治癒等同於該敵人恐懼值的恐懼。","
小小慰藉，足以安心。",,E:\Projects\Arkham-Horror-LCG-Cards\temp\02225.png,1.25,0,118,Ethan Patrick Harris,TheDunwichLegacy,225
暴露弱點 (1) [Seeker][event],,暴露弱點,,Seeker,None,None,0,1,None,None,None,None,Combat,Combat,Intellect,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",洞察.,"快速。在任何<fre>玩家時間段中打出。
選擇你所在地點的一名敵人。檢定<int>(X)，X為該敵人攻擊值。你每超過難度1點，該階段中，下一次攻擊該敵人時，其攻擊值降低1點。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\02228.png,1.25,0,118,Stephen Somers,TheDunwichLegacy,228
我見過更糟的…… (4) [Guardian][event],,"""我見過更糟的……""",,Guardian,None,None,0,4,None,None,None,None,Agility,Willpower,Willpower,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",勇氣.,"快速。在你受到傷害和/或恐懼時打出。
取消你這次受到的最多5點傷害和/或恐懼。然後獲得同等數量的資源。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\02261.png,1.25,0,118,Tiziano Baracchi,TheDunwichLegacy,261
殺手鐧 (3) [Rogue][event],,殺手鐧,,Rogue,None,None,0,3,None,None,None,None,None,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",技巧.,"卓越。快速。只能在你的回合中打出。
該回合中，你可以額外進行3個行動。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\02266.png,1.25,0,118,John Pacer,TheDunwichLegacy,266
月光儀式 [Mystic][event],,月光儀式,,Mystic,None,None,0,0,None,None,None,None,Agility,Intellect,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",法術. 洞察.,將你控制的1張卡上，所有毀滅標記移除。,"
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\02267.png,1.25,0,118,Andreia Ugrai,TheDunwichLegacy,267
不期而遇 [Survivor][event],,不期而遇,,Survivor,None,None,1,0,None,None,None,None,Intellect,Willpower,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",幸運.,選擇任意玩家棄牌堆中的一張<b><i>盟友</i></b>支援。將該支援放置入場，置於你的控制之下。當一輪結束時，如果該支援卡依然在場，將其丟棄。,"
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\02270.png,1.25,0,118,David Auden Nash,TheDunwichLegacy,270
喘息時間 (3) [Neutral][event],,喘息時間,,Neutral,None,None,3,3,None,None,None,None,Willpower,Willpower,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",勇氣.,只有在你所在地點沒有敵人時才能打出。治癒3點恐懼，並抽取1張卡牌。,"
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\02273.png,1.25,0,118,Colin Boyer,TheDunwichLegacy,273
正面迎擊 [Guardian][event],,正面迎擊,,Guardian,None,None,0,0,None,None,None,None,Agility,Combat,None,None,None,None,"<family ""Arial""><cop> 2021 FFG</family>",勇氣. 策略.,<b>攻擊</b>。這次攻擊造成+1傷害並自動成功。作為執行這次攻擊的額外費用，所選敵人攻擊你。,"
有時候，堅持到底是唯一突破口。",,E:\Projects\Arkham-Horror-LCG-Cards\temp\08020.png,1.25,0,118,David Gaillet,EdgeOfTheEarthInv,20
到我身後！ [Guardian][event],,"""到我身後！""",,Guardian,None,None,0,0,None,None,None,None,Combat,Willpower,None,None,None,None,"<family ""Arial""><cop> 2021 FFG</family>",勇氣. 策略.,"快速。在任何<fre>時間段中打出。
直到本階段結束，任何攻擊你所在地點另一位調查員的敵人，改為攻擊你，然後與你交戰。取消每次因此類攻擊造成的1點恐懼。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\08021.png,1.25,0,118,Isuardi Therianto,EdgeOfTheEarthInv,21
成群結隊 (1) [Guardian][event],,成群結隊,,Guardian,None,None,3,1,None,None,None,None,Combat,Willpower,None,None,None,None,"<family ""Arial""><cop> 2021 FFG</family>",勇氣. 協作.,<b>攻擊</b>。你控制的卡牌之中每有一個不同的職階，你這次攻擊+1<com>並造成+1傷害。,"
""你要是惹毛了我們之中的哪一個，就是招惹了我們全部人！""",,E:\Projects\Arkham-Horror-LCG-Cards\temp\08022.png,1.25,0,118,Patrick McEvoy,EdgeOfTheEarthInv,22
掃堂腿 (1) [Guardian][event],,掃堂腿,,Guardian,None,None,1,1,None,None,None,None,Agility,Combat,None,None,None,None,"<family ""Arial""><cop> 2021 FFG</family>",勇氣. 策略. 技巧.,<b>攻擊</b>。這次攻擊將你的<agi>加入你的技能值。這次攻擊造成+1傷害。如果你成功，自動躲避被攻擊的敵人。,"
""非常好，麗麗。現在再來一次。""",,E:\Projects\Arkham-Horror-LCG-Cards\temp\08023.png,1.25,0,118,Isuardi Therianto,EdgeOfTheEarthInv,23
閃躲 (2) [Guardian][event],,閃躲,,Guardian,None,None,0,2,None,None,None,None,Agility,Agility,Willpower,None,None,None,"<family ""Arial""><cop> 2021 FFG</family>",策略.,"快速。在一名敵人攻擊你所在地點一位調查員時打出。
取消該次攻擊。然後，檢定<agi>(1)。如果你成功，對該名敵人造成1點傷害。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\08026.png,1.25,0,118,Dane Cozens,EdgeOfTheEarthInv,26
