file,$Unique,name,$Subtitle,$CardClass,$CardClass2,$CardClass3,$ResourceCost,$Level,$Slot,$Slot2,$Stamina,$Sanity,$Skill1,$Skill2,$Skill3,$Skill4,$Skill5,$Skill6,$Copyright,$Traits,$Rules,$Flavor,$Victory,portSource,portScale,portX,portY,$Artist,$Collection,$CollectionNumber
放大鏡 (1) [Seeker][asset],,放大鏡,,Seeker,None,None,0,1,1 Hand,None,None,None,Intellect,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",道具. 工具.,"快速。
你在調查時獲得+1<int>。
<fre>如果你所在地點沒有線索：將放大鏡返回你的手牌。","
清清楚楚的世界，有時候不一定是你想看到的。",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01040.png,1.25,0,90,German Nobile,CoreSet,40
伊察姆納圓盤 (2) [Seeker][asset],1,伊察姆納圓盤,護身符,Seeker,None,None,3,2,Accessory,None,None,None,Combat,Intellect,Willpower,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",道具. 遺物.,<rea>在非<b><i>精英</i></b>敵人生成於你所在地點時，丟棄伊察姆納圓盤：丟棄那名敵人。,"
他們究竟是害怕護符對他們產生影響？還是害怕護符對你產生影響？",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01041.png,1.25,0,90,Melissa Findley,CoreSet,41
百科全書 (2) [Seeker][asset],,百科全書,,Seeker,None,None,2,2,1 Hand,None,None,None,Wild,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",道具. 書籍.,<act>消耗百科全書：選擇你所在地點的一位調查員。直到本階段結束，該調查員的一項你指定的技能+2。,"
我本來以為能理解一切，但我越是深入閱讀，就發現我對這宇宙一無所知。",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01042.png,1.25,0,90,Eric Wilkerson,CoreSet,42
彈簧刀 [Rogue][asset],,彈簧刀,,Rogue,None,None,1,0,1 Hand,None,None,None,Agility,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",道具. 武器. 近戰. 違法.,"快速。
<act>：<b>攻擊</b>。如果你成功且超過難度至少2點，該次攻擊造成+1傷害。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01044.png,1.25,0,90,Matthew Cowdery,CoreSet,44
夜盜 [Rogue][asset],,夜盜,,Rogue,None,None,1,0,None,None,None,None,Intellect,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",才能. 違法.,<act>消耗夜盜：<b>調查</b>。如果成功，不發現線索，改為獲得3個資源。,"
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01045.png,1.25,0,90,Sara Biddle,CoreSet,45
扒竊 [Rogue][asset],,扒竊,,Rogue,None,None,2,0,None,None,None,None,Agility,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",才能. 違法.,<rea>在你躲避一名敵人後，消耗扒竊：抽取1張卡牌。,"
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01046.png,1.25,0,90,Stanislav Dikolenko,CoreSet,46
點41短口手槍 [Rogue][asset],,.41短口手槍,,Rogue,None,None,3,0,1 Hand,None,None,None,Combat,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",道具. 武器. 槍械. 違法.,"使用(3子彈)。
<act>花費1子彈：<b>攻擊</b>。這次攻擊期間你+2<com>。如果你成功且超過難度至少2點，這次攻擊造成+1傷害。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01047.png,1.25,0,90,John Pacer,CoreSet,47
里奧·德·盧卡 [Rogue][asset],1,里奧·德·盧卡,路易斯安那雄獅,Rogue,None,None,6,0,Ally,None,2,2,Intellect,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",盟友. 罪犯.,在你回合期間，你可以額外進行1個行動。,"
""我生在密西西比。不過路易斯安那聽起來更好。""",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01048.png,1.25,0,90,Paco Rico Torres,CoreSet,48
沉重打擊 [Rogue][asset],,沉重打擊,,Rogue,None,None,2,0,None,None,None,None,Agility,Combat,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",才能.,"<fre>花費1資源：這次技能檢定期間你+1<com>。
<fre>花費1資源：這次技能檢定期間你+1<agi>。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01049.png,1.25,0,90,Magali Villeneuve,CoreSet,49
里奧·德·盧卡 (1) [Rogue][asset],1,里奧·德·盧卡,路易斯安那雄獅,Rogue,None,None,5,1,Ally,None,2,2,Intellect,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",盟友. 罪犯.,在你回合期間，你可以額外進行1個行動。,"
""我生在密西西比。不過路易斯安那聽起來更好。""",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01054.png,1.25,0,90,Paco Rico Torres,CoreSet,54
飛賊 (1) [Rogue][asset],,飛賊,,Rogue,None,None,4,1,Ally,None,2,2,Agility,Willpower,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",盟友. 罪犯.,"你獲得+1<agi>。
<act>消耗飛賊：將所有與你交戰的敵人解除交戰狀態，並移動到一個連接地點。該行動不會引起趁亂攻擊。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01055.png,1.25,0,90,JB Casacop,CoreSet,55
禁忌知識 [Mystic][asset],,禁忌知識,,Mystic,None,None,0,0,None,None,None,None,Intellect,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",才能.,"使用(4秘密)。如果禁忌知識沒有秘密，則將其丟棄。
<fre>消耗禁忌知識並受到1點恐懼：將禁忌知識上1個秘密移動到你的資源池，作為資源使用。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01058.png,1.25,0,90,Alexandr Elichev,CoreSet,58
聖玫瑰珠 [Mystic][asset],,聖玫瑰珠,,Mystic,None,None,2,0,Accessory,None,-,2,Willpower,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",道具. 守護.,你獲得+1<wil>。,"
不論是小物件還是神器，蘊含的信仰之力都是平等的。",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01059.png,1.25,0,90,Sara Biddle,CoreSet,59
皺縮術 [Mystic][asset],,皺縮術,,Mystic,None,None,3,0,1 Arcane,None,None,None,Combat,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",法術.,"使用(4充能)。
<act>花費1充能：<b>攻擊</b>。這次攻擊不使用<com>，改為使用<wil>，並造成+1傷害。如果攻擊期間抽出<sku>、<cul>、<tab>、<mon>或<ten>標記，受到1點恐懼。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01060.png,1.25,0,90,Brian Valenzuela,CoreSet,60
探知術 [Mystic][asset],,探知術,,Mystic,None,None,1,0,1 Arcane,None,None,None,Intellect,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",法術.,"使用(3充能)。
<act>消耗探知術並花費1充能：查看任一位調查員牌堆或遭遇牌堆頂部3張卡牌。然後按任意順序放回該牌堆頂部。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01061.png,1.25,0,90,Romana Kendelic,CoreSet,61
神秘研究 [Mystic][asset],,神秘研究,,Mystic,None,None,2,0,None,None,None,None,Intellect,Willpower,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",才能.,"<fre>花費1資源：這次技能檢定期間你+1<wil>。
<fre>花費1資源：這次技能檢定期間你+1<int>。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01062.png,1.25,0,90,Alexandre Dainche,CoreSet,62
新晉術士 [Mystic][asset],,新晉術士,,Mystic,None,None,1,0,Ally,None,1,2,Willpower,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",盟友. 法師.,"<b>強制</b> - 在新晉術士入場後：在該卡上放置1個毀滅標記。
<fre> 消耗新晉術士：在你牌堆頂部3張卡牌中查找並抽取1張<b><i>法術</i></b>卡。混洗你的牌堆。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01063.png,1.25,0,90,Xia Taptara,CoreSet,63
影之書 (3) [Mystic][asset],,影之書,,Mystic,None,None,4,3,1 Hand,None,None,None,Intellect,Willpower,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",道具. 書籍.,"你擁有額外1個法術槽位。
<act>消耗影之書：你控制的一張<b><i>法術</i></b>支援卡增加1充能。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01070.png,1.25,0,90,Dimitri Bielak,CoreSet,70
詭秘石像 (4) [Mystic][asset],,詭秘石像,,Mystic,None,None,2,4,1 Hand,None,None,None,Wild,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",道具. 遺物.,"使用(4充能)。如果詭秘石像沒有充能，則將其丟棄。
<rea>在你將要抽出1個混亂標記時，花費1充能：改為抽出2個混亂標記而不是1個。選擇其中1個標記結算，並忽略其餘標記。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01071.png,1.25,0,90,Josh Stewart,CoreSet,71
皮大衣 [Survivor][asset],,皮大衣,,Survivor,None,None,0,0,Body,None,2,-,Combat,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",道具. 護甲.,,"
皮大衣可能並不是很時尚，但是溫暖又抗寒，而且很可靠。",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01072.png,1.25,0,90,Andreia Ugrai,CoreSet,72
拾荒 [Survivor][asset],,拾荒,,Survivor,None,None,1,0,None,None,None,None,Intellect,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",才能.,<rea>在你成功調查，並超過難度至少2點後，消耗拾荒：選擇你棄牌堆中一張<b><i>道具</i></b>卡，並加入你的手牌。,"
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01073.png,1.25,0,90,Derk Venneman,CoreSet,73
球棒 [Survivor][asset],,球棒,,Survivor,None,None,2,0,2 Hands,None,None,None,Combat,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",道具. 武器. 近戰.,<act>：<b>攻擊</b>。這次攻擊期間你+2<com>。這次攻擊造成+1傷害。如果攻擊期間抽出<sku>或<ten>標記，在結算攻擊後，丟棄球棒。,"
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01074.png,1.25,0,90,Mauro Dal Bo,CoreSet,74
幸運兔腳 [Survivor][asset],,幸運兔腳,,Survivor,None,None,1,0,Accessory,None,None,None,Wild,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",道具. 守護.,<rea>在你技能檢定失敗後，消耗幸運兔腳：抽取1張卡牌。,"
他們都說這不會帶來任何好運。我倒是覺得寧信其有，不信其無。",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01075.png,1.25,0,90,Matthew Cowdery,CoreSet,75
野貓 [Survivor][asset],,野貓,,Survivor,None,None,1,0,Ally,None,1,-,Agility,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",盟友. 生物.,<fre> 丢棄野貓：自動躲避你所在地點的一名非<b><i>精英</i></b>敵人。,"
它從不會不請自來，也許它也有幾個自己的小秘密。",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01076.png,1.25,0,90,Stephen Somers,CoreSet,76
深挖 [Survivor][asset],,深挖,,Survivor,None,None,2,0,None,None,None,None,Agility,Willpower,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",才能.,"<fre>花費1資源：這次技能檢定期間你+1<wil>。
<fre>花費1資源：這次技能檢定期間你+1<agi>。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01077.png,1.25,0,90,David Gaillet,CoreSet,77
安奎娜 (1) [Survivor][asset],1,安奎娜,被遺忘的女子,Survivor,None,None,5,1,Ally,None,1,4,Willpower,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",盟友.,<rea>在敵人攻擊你時，消耗安奎娜並對她造成1點恐懼：將攻擊造成的傷害轉移給你所在地點的另一名敵人。(你依然受到攻擊造成的恐懼。),"
""不要怕你看到的東西。真正可怕的是那些你看不到的。""",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01082.png,1.25,0,90,Tommy Arnold,CoreSet,82
刀子 [Neutral][asset],,刀子,,Neutral,None,None,1,0,1 Hand,None,None,None,Combat,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",道具. 武器. 近戰.,"<act>：<b>攻擊</b>。這次攻擊期間你+1<com>。
<act>丟棄刀子：<b>攻擊</b>。這次攻擊期間你+2<com>。這次攻擊造成+1傷害。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01086.png,1.25,0,90,Henning Ludvigsen,CoreSet,86
手電筒 [Neutral][asset],,手電筒,,Neutral,None,None,2,0,1 Hand,None,None,None,Intellect,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",道具. 工具.,"使用(3補給)。
<act>花費1補給：<b>調查</b>。這次調查期間，你所在地點隱藏值-2。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01087.png,1.25,0,90,Kip Ayers,CoreSet,87
防彈衣 (3) [Neutral][asset],,防彈衣,,Neutral,None,None,2,3,Body,None,4,-,Combat,Wild,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",道具. 護甲.,,"
子彈是一回事……12英吋的長牙又是另一回事了。",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01094.png,1.25,0,90,David Auden Nash,CoreSet,94
遠古印記護身符 (3) [Neutral][asset],,遠古印記護身符,,Neutral,None,None,2,3,Accessory,None,-,4,Willpower,Wild,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",道具. 遺物.,,"
這在我家代代相傳。拿穩了，它會保護你的。",,E:\Projects\Arkham-Horror-LCG-Cards\temp\01095.png,1.25,0,90,Dimitri Bielak,CoreSet,95
銳利目光 (3) [Guardian][asset],,銳利目光,,Guardian,None,None,-,3,None,None,None,None,None,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",才能.,"永久。
<fre>花費2資源：在該階段結束前，你獲得+1<int>。
<fre>花費2資源：在該階段結束前，你獲得+1<com>。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\02185.png,1.25,0,90,Bryce Cook,TheDunwichLegacy,185
高等教育 (3) [Seeker][asset],,高等教育,,Seeker,None,None,-,3,None,None,None,None,None,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",才能.,"永久。
只要你有至少5張手牌，高等教育獲得：
""<fre>花費1資源：這次技能檢定中你+2<wil>。
<fre>花費1資源：這次技能檢定中你+2<int>。""","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\02187.png,1.25,0,90,Borja Pindado,TheDunwichLegacy,187
孤狼 [Rogue][asset],,孤狼,,Rogue,None,None,1,0,None,None,None,None,Agility,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",才能.,"每位調查員限制1張。
<rea>在你回合開始時，如果你所在地點沒有其他調查員：獲得1個資源。","
""我不介意單獨行動，這樣子才高效。""",,E:\Projects\Arkham-Horror-LCG-Cards\temp\02188.png,1.25,0,90,Adam Lane,TheDunwichLegacy,188
街頭浪子 (3) [Rogue][asset],,街頭浪子,,Rogue,None,None,-,3,None,None,None,None,None,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",才能.,"永久。
<fre>花費2資源：這次技能檢定中你+3<int>。
<fre>花費2資源：這次技能檢定中你+3<agi>。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\02189.png,1.25,0,90,Andreia Ugrai,TheDunwichLegacy,189
 鮮血盟約 (3) [Mystic][asset],, 鮮血盟約,,Mystic,None,None,-,3,None,None,None,None,None,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",法術. 契約.,"永久。
<fre>在鮮血盟約上放置1個毀滅標記：這次技能檢定中你+3<wil>。(每次技能檢定限制1次。)
<fre>在鮮血盟約上放置1個毀滅標記：這次技能檢定中你+3<com>。(每次技能檢定限制1次。)","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\02191.png,1.25,0,90,Shane Watson,TheDunwichLegacy,191
拳擊家 (3) [Survivor][asset],,拳擊家,,Survivor,None,None,-,3,None,None,None,None,None,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",才能.,"永久。
<fre>花費1資源：這次技能檢定中你+1<com>。
<fre>花費1資源：這次技能檢定中你+1<agi>。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\02193.png,1.25,0,90,Daniel Dulitzky,TheDunwichLegacy,193
金屬棍棒 [Guardian][asset],,金屬棍棒,,Guardian,None,None,1,0,1 Hand,None,None,None,Combat,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",道具. 武器. 近戰.,<act>：<b>攻擊</b>。這次攻擊中你+1<com>。如果你對與另一位調查員交戰的敵人攻擊並且失敗，則不會對調查員造成傷害。,"
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\02016.png,1.25,0,90,Matthew Cowdery,TheDunwichLegacy,16
實驗室助理 [Seeker][asset],,實驗室助理,,Seeker,None,None,2,0,Ally,None,1,2,Intellect,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",盟友. 米斯卡塔尼克. 科學.,"你手牌上限+2。
<rea>在實驗室助理入場後：抽取2張卡牌。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\02020.png,1.25,0,90,Magali Villeneuve,TheDunwichLegacy,20
奇怪的溶液 [Seeker][asset],,奇怪的溶液,未鑒定,Seeker,None,None,1,0,None,None,None,None,Wild,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",道具. 科學.,"<act>：檢定<int> (4)。如果成功，丟棄奇怪的溶液，並抽取2張卡牌。在冒險日誌中，記錄下""確認溶液成分""。","
從科學角度來說，這不可能存在的",,E:\Projects\Arkham-Horror-LCG-Cards\temp\02021.png,1.25,0,90,Tiziano Baracchi,TheDunwichLegacy,21
酒膽 [Rogue][asset],,酒膽,,Rogue,None,None,1,0,None,None,None,None,Willpower,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",道具. 違法.,"使用(4補給)。
<act>花費1補給：選擇你所在地點的一位調查員，治癒1點恐懼。然後，該調查員檢定<wil>(2)。如果檢定成功，該調查員額外治癒1點恐懼。如果檢定失敗，該調查員隨機丟棄1張手牌。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\02024.png,1.25,0,90,Dani Hartel,TheDunwichLegacy,24
雇傭打手 (1) [Rogue][asset],,雇傭打手,,Rogue,None,None,1,1,Ally,None,3,1,Combat,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",盟友. 罪犯.,"你獲得+1<com>。
<b>強制</b> - 當補給階段結束時：你必須選擇丟棄1資源，或丟棄雇傭打手。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\02027.png,1.25,0,90,Mike Capprotti,TheDunwichLegacy,27
禮尋術 [Mystic][asset],,禮尋術,,Mystic,None,None,4,0,1 Arcane,None,None,None,Intellect,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",法術.,"使用(3充能)。
<act>花費1充能：<b>調查</b>。這次調查不使用<int>，改為使用<wil>。如果成功，額外發現所在地點1個線索。如果檢定中抽出<sku>、<cul>、<tab>、<mon>或<ten>標記，在檢定結束後，失去所有剩餘行動，並立刻結束你的回合。","
",,E:\Projects\Arkham-Horror-LCG-Cards\temp\02028.png,1.25,0,90,Romana Kendelic,TheDunwichLegacy,28
儀式蠟燭 [Mystic][asset],,儀式蠟燭,,Mystic,None,None,1,0,1 Hand,None,None,None,Willpower,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",道具.,<rea>在技能檢定期間，你抽出<sku>、<cul>、<tab>或<mon>標記後：你這次檢定技能值+1。,"
蜂蠟滴落，反射出光澤。火焰舞蹈，彷彿活物般。",,E:\Projects\Arkham-Horror-LCG-Cards\temp\02029.png,1.25,0,90,Kristina Gehrmann,TheDunwichLegacy,29
淨心術 [Mystic][asset],,淨心術,,Mystic,None,None,2,0,1 Arcane,None,None,None,Willpower,None,None,None,None,None,"<family ""Arial""><cop> 2016 FFG</family>",法術.,"使用(3充能)。
<act>花費1充能：治癒你所在地點一位調查員1點恐懼。","
虛幻帶來現實
黑暗帶來光明
死亡帶來永恆",,E:\Projects\Arkham-Horror-LCG-Cards\temp\02030.png,1.25,0,90,Aaron B. Miller,TheDunwichLegacy,30
